Date/Time: 2/25/2021 5:27:32 PM
Sensor Name: PinDiode_1
Type: None
Annealing Status: None
Environment: RT
Tester: Andrew

Time Delay per Ramp Step (s): 0.500

Vf: 0.326610

Time	I	0.000000s	Temperature	Air_Temp	Humidity	Dewpoint	
3697136010.128759	1.000E-3	5.238E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136011.418911	1.000E-5	2.809E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136012.685571	1.000E-3	5.233E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136013.988142	1.000E-5	2.800E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136015.240551	1.000E-3	5.227E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136016.527168	1.000E-5	2.803E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136017.792664	1.000E-3	5.233E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136019.076256	1.000E-5	2.800E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136020.345321	1.000E-3	5.218E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136021.632341	1.000E-5	2.797E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136022.900814	1.000E-3	5.223E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136024.186539	1.000E-5	2.792E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136025.456895	1.000E-3	5.220E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136026.745967	1.000E-5	2.797E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136028.008475	1.000E-3	5.218E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136029.290981	1.000E-5	2.789E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136030.567105	1.000E-3	5.218E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136031.853530	1.000E-5	2.787E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136033.120461	1.000E-3	5.216E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136034.411307	1.000E-5	2.782E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136035.674998	1.000E-3	5.211E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136036.966258	1.000E-5	2.788E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136038.227733	1.000E-3	5.216E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136039.508083	1.000E-5	2.783E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136040.774573	1.000E-3	5.212E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136042.064894	1.000E-5	2.776E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136043.334094	1.000E-3	5.207E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136044.616400	1.000E-5	2.785E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136045.879250	1.000E-3	5.209E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136047.168994	1.000E-5	2.772E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136048.434956	1.000E-3	5.204E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136049.723128	1.000E-5	2.777E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136050.987072	1.000E-3	5.209E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136052.275261	1.000E-5	2.776E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136053.543517	1.000E-3	5.207E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136054.831367	1.000E-5	2.778E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136056.097904	1.000E-3	5.213E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136057.384932	1.000E-5	2.774E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136058.643917	1.000E-3	5.206E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
